name,cca3,un_member,currencies,languages,landlocked,borders,area,population,timezones,flag_colors
Grenada,GRD,True,Eastern Caribbean dollar,English,False,,344.0,112519,UTC-04:00,green;yellow;red
Switzerland,CHE,True,Swiss franc,French;Swiss German;Italian;Romansh,True,AUT;FRA;ITA;LIE;DEU,41284.0,8654622,UTC+01:00,red;white
Sierra Leone,SLE,True,Sierra Leonean leone,English,False,GIN;LBR,71740.0,7976985,UTC,green;white;blue
Hungary,HUN,True,Hungarian forint,Hungarian,True,AUT;HRV;ROU;SRB;SVK;SVN;UKR,93028.0,9749763,UTC+01:00,red;white;darkgreen
Barbados,BRB,True,Barbadian dollar,English,False,,430.0,287371,UTC-04:00,ultramarine;gold;black
Tunisia,TUN,True,Tunisian dinar,Arabic,False,DZA;LBY,163610.0,11818618,UTC+01:00,red;white
Italy,ITA,True,Euro,Italian,False,AUT;FRA;SMR;SVN;CHE;VAT,301336.0,59554023,UTC+01:00,green;white;red
Benin,BEN,True,West African CFA franc,French,False,BFA;NER;NGA;TGO,112622.0,12123198,UTC+01:00,green;yellow;red
Indonesia,IDN,True,Indonesian rupiah,Indonesian,False,TLS;MYS;PNG,1904569.0,273523621,UTC+07:00;UTC+08:00;UTC+09:00,red;white
Saint Kitts and Nevis,KNA,True,Eastern Caribbean dollar,English,False,,261.0,53192,UTC-04:00,green;red;white
Laos,LAO,True,Lao kip,Lao,True,MMR;KHM;CHN;THA;VNM,236800.0,7275556,UTC+07:00,red;blue;white
Uganda,UGA,True,Ugandan shilling,English;Swahili,True,COD;KEN;RWA;SSD;TZA,241550.0,45741000,UTC+03:00,black;yellow;red
Andorra,AND,True,Euro,Catalan,True,FRA;ESP,468.0,77265,UTC+01:00,blue;yellow;red
Burundi,BDI,True,Burundian franc,French;Kirundi,True,COD;RWA;TZA,27834.0,11890781,UTC+02:00,red;white;green
South Africa,ZAF,True,South African rand,Afrikaans;English;Southern Ndebele;Northern Sotho;Southern Sotho;Swazi;Tswana;Tsonga;Venda;Xhosa;Zulu,False,BWA;LSO;MOZ;NAM;SWZ;ZWE,1221037.0,59308690,UTC+02:00,red;green;blue;gold;black;white
France,FRA,True,Euro,French,False,AND;BEL;DEU;ITA;LUX;MCO;ESP;CHE,551695.0,67391582,UTC-10:00;UTC-09:30;UTC-09:00;UTC-08:00;UTC-04:00;UTC-03:00;UTC+01:00;UTC+02:00;UTC+03:00;UTC+04:00;UTC+05:00;UTC+10:00;UTC+11:00;UTC+12:00,blue;white;red
Libya,LBY,True,Libyan dinar,Arabic,False,DZA;TCD;EGY;NER;SDN;TUN,1759540.0,6871287,UTC+01:00,red;black;green;white
