name,cca3,un_member,currencies,languages,landlocked,borders,area,population,timezones,flag_colors,population_density,GDP Per Capita,exports,imports
Grenada,GRD,True,Eastern Caribbean dollar,English,False,,344.0,112519,UTC-04:00,green;yellow;red,344.7,9509.0,United States;Saint Vincent and the Grenadines,United States;Trinidad and Tobago;Îles Caïmanes
Switzerland,CHE,True,Swiss franc,French;Swiss German;Italian;Romansh,True,AUT;FRA;ITA;LIE;DEU,41284.0,8654622,UTC+01:00,red;white,223.1,93636.0,United States;Germany;China,Germany;United States;Italy
Sierra Leone,SLE,True,Sierra Leonean leone,English,False,GIN;LBR,71740.0,7976985,UTC,green;white;blue,120.5,405.0,China;United Arab Emirates;Belgium,China;India;United States
Hungary,HUN,True,Hungarian forint,Hungarian,True,AUT;HRV;ROU;SRB;SVK;SVN;UKR,93028.0,9749763,UTC+01:00,red;white;darkgreen,106.9,17792.0,Germany;Italy;Romania,Germany;China;Austria
Barbados,BRB,True,Barbadian dollar,English,False,,430.0,287371,UTC-04:00,ultramarine;gold;black,656.9,20239.0,United States;Jamaica,United States;Trinidad and Tobago;Netherlands
Tunisia,TUN,True,Tunisian dinar,Arabic,False,DZA;LBY,163610.0,11818618,UTC+01:00,red;white,79.0,3738.0,France;Italy;Germany,Italy;China;France
Italy,ITA,True,Euro,Italian,False,AUT;FRA;SMR;SVN;CHE;VAT,301336.0,59554023,UTC+01:00,green;white;red,200.5,34672.0,Germany;United States;France,Germany;China;France
Benin,BEN,True,West African CFA franc,French,False,BFA;NER;NGA;TGO,112622.0,12123198,UTC+01:00,green;yellow;red,128.3,1303.0,Bangladesh;India;Pakistan,India;China;France
Indonesia,IDN,True,Indonesian rupiah,Indonesian,False,TLS;MYS;PNG,1904569.0,273523621,UTC+07:00;UTC+08:00;UTC+09:00,red;white,148.4,4788.0,China;United States;Japan,China;Singapore;Japan
Saint Kitts and Nevis,KNA,True,Eastern Caribbean dollar,English,False,,261.0,53192,UTC-04:00,green;red;white,180.2,20547.0,Malta;United States;Turkey,United States;Italy;China
Laos,LAO,True,Lao kip,Lao,True,MMR;KHM;CHN;THA;VNM,236800.0,7275556,UTC+07:00,red;blue;white,33.7,2040.0,Thailand;China;Vietnam,Thailand;China;Vietnam
Uganda,UGA,True,Ugandan shilling,English;Swahili,True,COD;KEN;RWA;SSD;TZA,241550.0,45741000,UTC+03:00,black;yellow;red,250.3,1021.0,United Arab Emirates;Kenya;South Sudan,China;India;Tanzania
Andorra,AND,True,Euro,Catalan,True,FRA;ESP,468.0,77265,UTC+01:00,blue;yellow;red,174.3,42293.0,Spain;France,Spain;France;Germany
Burundi,BDI,True,Burundian franc,French;Kirundi,True,COD;RWA;TZA,27834.0,11890781,UTC+02:00,red;white;green,541.3,313.0,United Arab Emirates;DR Congo;Switzerland,Saudi Arabia;China;United Arab Emirates
South Africa,ZAF,True,South African rand,Afrikaans;English;Southern Ndebele;Northern Sotho;Southern Sotho;Swazi;Tswana;Tsonga;Venda;Xhosa;Zulu,False,BWA;LSO;MOZ;NAM;SWZ;ZWE,1221037.0,59308690,UTC+02:00,red;green;blue;gold;black;white,52.4,6766.0,China;United States;Germany,China;United States;Germany
France,FRA,True,Euro,French,False,AND;BEL;DEU;ITA;LUX;MCO;ESP;CHE,551695.0,67391582,UTC-10:00;UTC-09:30;UTC-09:00;UTC-08:00;UTC-04:00;UTC-03:00;UTC+01:00;UTC+02:00;UTC+03:00;UTC+04:00;UTC+05:00;UTC+10:00;UTC+11:00;UTC+12:00,blue;white;red,120.7,41426.0,Germany;Italy;Belgium,Germany;Belgium;Netherlands
Libya,LBY,True,Libyan dinar,Arabic,False,DZA;TCD;EGY;NER;SDN;TUN,1759540.0,6871287,UTC+01:00,red;black;green;white,4.4,5951.0,Italy;Germany;Spain,China;Turkey;Italy
Mexico,MEX,True,Mexican peso,Spanish,False,BLZ;GTM;USA,1964375.0,128932753,UTC-08:00;UTC-07:00;UTC-06:00,green;white;red,66.8,11477.0,United States;Canada,United States;China;Germany
Gabon,GAB,True,Central African CFA franc,French,False,CMR;COG;GNQ,267668.0,2225728,UTC+01:00,green;yellow;blue,9.9,8427.0,China;India;Cameroon,France;Singapore;China
North Macedonia,MKD,True,denar,Macedonian,True,ALB;BGR;GRC;UNK;SRB,25713.0,2077132,UTC+01:00,red;yellow,73.2,6549.0,Germany;Serbia;Bulgaria,United Kingdom;Germany;Greece
China,CHN,True,Chinese yuan,Chinese,False,AFG;BTN;MMR;HKG;IND;KAZ;NPL;PRK;KGZ;LAO;MAC;MNG;PAK;RUS;TJK;VNM,9706961.0,1402112000,UTC+08:00,red;yellow,147.8,12598.0,United States;Japan,;United States;South Korea
Yemen,YEM,True,Yemeni rial,Arabic,False,OMN;SAU,527968.0,29825968,UTC+03:00,red;white;black,76.9,327.0,Thailand;Saudi Arabia;India,China;Saudi Arabia;United Arab Emirates
Solomon Islands,SLB,True,Solomon Islands dollar,English,False,,28896.0,686878,UTC+11:00,olivegreen;yellow;blue,28.4,2205.0,China;Australia;Italy,China;Singapore;Australia
Uzbekistan,UZB,True,Uzbekistani soʻm,Russian;Uzbek,True,AFG;KAZ;KGZ;TJK;TKM,447400.0,34232050,UTC+05:00,blue;white;green;red,85.5,2322.0,Russia;China,China;Russia;Kazakhstan
Egypt,EGY,True,Egyptian pound,Arabic,False,ISR;LBY;PSE;SDN,1002450.0,102334403,UTC+02:00,red;white;black,117.1,3688.0,Turkey;Italy;Saudi Arabia,China;United States;Saudi Arabia
Senegal,SEN,True,West African CFA franc,French,False,GMB;GIN;GNB;MLI;MRT,196722.0,16743930,UTC,green;yellow;red,96.1,1604.0,Mali;India;Switzerland,China;France;India
Sri Lanka,LKA,True,Sri Lankan rupee,Sinhala;Tamil,False,IND,65610.0,21919000,UTC+05:30,blue;yellow,368.4,3490.0,United States;United Kingdom;India,India;China;United Arab Emirates
Bangladesh,BGD,True,Bangladeshi taka,Bengali,False,MMR;IND,147570.0,164689383,UTC+06:00,red;green,1333.4,2528.0,United States;Germany;United Kingdom,China;India;Singapore
Peru,PER,True,Peruvian sol,Aymara;Quechua;Spanish,False,BOL;BRA;CHL;COL;ECU,1285216.0,32971846,UTC-05:00,red;white,26.7,7126.0,China;United States;Japan,China;United States;Brazil
Singapore,SGP,True,Singapore dollar,English;Chinese;Malay;Tamil,False,,710.0,5685807,UTC+08:00,red;white,8539.4,78115.0,China;Malaysia,China;Malaysia;
Turkey,TUR,True,Turkish lira,Turkish,False,ARM;AZE;BGR;GEO;GRC;IRN;IRQ;SYR,783562.0,84339067,UTC+03:00,red;white,113.7,12985.0,Germany;United States;Iraq,Russia;China;Germany
Afghanistan,AFG,True,Afghan afghani,Dari;Pashto;Turkmen,True,IRN;PAK;TKM;UZB;TJK;CHN,652230.0,40218234,UTC+04:30,black;red;green;white,65.7,345.0,Pakistan;India;China,China;United Arab Emirates;Pakistan
United Kingdom,GBR,True,British pound,English,False,IRL,242900.0,67215293,UTC-08:00;UTC-05:00;UTC-04:00;UTC-03:00;UTC-02:00;UTC;UTC+01:00;UTC+02:00;UTC+06:00,red;white;blue,284.8,45758.0,United States;Germany;Netherlands,China;United States;Germany
