Algeria,Green;white;red
Angola,Red;black;yellow
Benin,Green;yellow;red
Botswana,Lightblue;black;white
Burkina Faso,Red;green;yellow
Burundi,Red;white;green
Cameroon,Green;red;yellow
Cape Verde,Blue;white;red;yellow
Central African Republic,Blue;white;green;yellow;red
Chad,Blue;yellow;red
Comoros,Yellow;white;red;blue;green
DR Congo,Blue;yellow;red
Djibouti,Lightblue;green;white;red
Egypt,Red;white;black
Equatorial Guinea,Green;white;red;blue
Eritrea,Green;blue;red;yellow
Eswatini,Blue;yellow;red;black;white
Ethiopia,Green;yellow;red;blue
Gabon,Green;yellow;blue
Gambia,Red;blue;green;white
Ghana,Red;yellow;green;black
Guinea,Red;yellow;green
Guinea-Bissau,Red;yellow;green;black
Ivory Coast,Orange;white;green
Kenya,Black;red;green;white
Lesotho,Blue;white;green;black
Liberia,Red;white;blue
Libya,Red;black;green;white
Madagascar,Red;green;white
Malawi,Black;red;green
Mali,Green;yellow;red
Mauritania,Green;yellow;red
Mauritius,Red;blue;yellow;green
Morocco,Red;green
Mozambique,Green;yellow;red;black;white
Namibia,Blue;red;green;white;yellow
Niger,Orange;white;green
Nigeria,Green;white
Rwanda,Skyblue;yellow;green
São Tomé and Príncipe,Green;yellow;red;black
Senegal,Green;yellow;red
Seychelles,Blue;yellow;red;white;green
Sierra Leone,Green;white;blue
Somalia,Blue;white
South Africa,Red;green;blue;gold;black;white
South Sudan,Black;red;green;blue;yellow;white
Sudan,Red;white;black;green
Tanzania,Green;yellow;blue;black
Togo,Green;yellow;red;white
Tunisia,Red;white
Uganda,Black;yellow;red
Zambia,Green;red;black;orange
Zimbabwe,Green;yellow;red;black;white
Antigua and Barbuda,Red;white;blue;black;yellow
Bahamas,Aquamarine;yellow;black
Barbados,Ultramarine;gold;black
Belize,Blue;red;white
Canada,Red;white
Costa Rica,Blue;white;red
Cuba,Blue;white;red
Dominica,Green;yellow;black;white;red
Dominican Republic,Blue;white;red
El Salvador,Blue;white
Grenada,Green;yellow;red
Guatemala,Blue;white
Haiti,Blue;red
Honduras,Turquoiseblue;white
Jamaica,Green;gold;black
Mexico,Green;white;red
Nicaragua,Blue;white
Panama,Blue;white;red
Saint Kitts and Nevis,Green;red;white
Saint Lucia,Lightblue;yellow;black;white
Saint Vincent and the Grenadines,Blue;yellow;green
Trinidad and Tobago,Red;white;black
United States,Red;white;blue
Argentina,Lightblue;white
Bolivia,Red;yellow;green
Brazil,Green;yellow
Chile,Red;white;blue
Colombia,Yellow;blue;red
Ecuador,Yellow;blue;red
French Guiana,Yellow;green
Guyana,Yellow;green
Paraguay,Red;white;blue
Peru,Red;white
Suriname,White;green
Uruguay,Blue;white
Venezuela,Yellow;blue;red
Armenia,Red;blue;orange
Afghanistan,Black;red;green;white
Azerbaijan,Skyblue;red;green
Bahrain,Red;white
Bangladesh,Red;green
Bhutan,Orange;gold;white
Brunei,Yellow;black;white;red
Cambodia,Red;blue
China,Red;yellow
Georgia,Red;white
India,Saffronorange;blue;white;green
Indonesia,Red;white
Iran,Green;white;red
Iraq,Red;white;black;green
Israel,Blue;white
Japan,Red;white
Jordan,Black;white;green;red
Kazakhstan,Blue;gold
North Korea,Red;white;blue
South Korea,White;red;blue;black
Kuwait,Green;white;red;black
Kyrgyzstan,Red;yellow
Laos,Red;blue;white
Lebanon,Red;white;green
Malaysia,Gold;black
Maldives,Red;white
Mongolia,Blue;red;yellow
Myanmar,Yellow;green;red;white
Nepal,Crimson;blue;white
Oman,Red;white;green
Pakistan,Green;white
Philippines,Blue;red;white;yellow
Qatar,Maroon;white
Saudi Arabia,Green;white
Singapore,Red;white
Sri Lanka,Blue;yellow
Syria,Red;white;black;green
Tajikistan,Red;white;green
Thailand,Red;white;blue
Timor-Leste,Red;yellow;black;white
Turkmenistan,Green;white
United Arab Emirates,Red;green;white;black
Uzbekistan,Blue;white;green;red
Vietnam,Yellow;red
Yemen,Red;white;black
Albania,Red;black
Andorra,Blue;yellow;red
Austria,Red;white
Belarus,Red;green;white
Belgium,Red
Bosnia and Herzegovina,Blue;gold
Bulgaria,White;green;red
Croatia,Red;white;blue
Czech Republic,White;red;blue
Cyprus,Blue;white
Denmark,Red;white
Estonia,Blue;black;white
Finland,White;blue
France,Blue;white;red
Germany,Black;red;gold
Greece,Blue;white
Hungary,Red;white;darkgreen
Iceland,Blue;white;red
Ireland,Green
Italy,Green;white;red
Latvia,Carmine;white
Liechtenstein,Blue;red
Lithuania,Yellow;green;red
Luxembourg,Red;white;lightblue
Malta,Red;white
Moldova,Blue;yellow;red
Monaco,Red;white
Montenegro,Red;gold
Netherlands,Orange
North Macedonia,Red;yellow
Norway,Red;blue;white
Poland,White;red
Portugal,Green;red
Romania,Blue;yellow;red
Russia,White;blue;red
San Marino,White;lightblue
Serbia,Red;blue;white
Slovakia,White;blue;red
Slovenia,White;blue;red
Spain,Red;gold
Sweden,Blue;yellow
Switzerland,Red;white
Turkey,Red;white
Ukraine,Blue;gold
United Kingdom,Red;white;blue
Australia,Green;gold
Fiji,Lightblue
Kiribati,Red;gold;blue;white
New Zealand,Black
Papua New Guinea,Red;black;yellow;white
Samoa,Red;white;blue
Solomon Islands,Olivegreen;yellow;blue
Tonga,Red;white
Tuvalu,Skyblue;yellow;white
Vanuatu,Red;green;black;yellow
