source,target,type
Grenada,Sierra Leone,English
Grenada,Barbados,English
Grenada,Saint Kitts and Nevis,English
Grenada,Uganda,English
Grenada,South Africa,English
Grenada,Solomon Islands,English
Grenada,Singapore,English
Grenada,United Kingdom,English
Grenada,Zambia,English
Grenada,Mauritius,English
Grenada,Sudan,English
Grenada,Fiji,English
Grenada,Pakistan,English
Grenada,Botswana,English
Grenada,Papua New Guinea,English
Grenada,India,English
Grenada,Eswatini,English
Grenada,Namibia,English
Grenada,Malaysia,English
Grenada,Canada,English
Grenada,Malawi,English
Grenada,Lesotho,English
Grenada,Marshall Islands,English
Grenada,Nauru,English
Grenada,Dominica,English
Grenada,Australia,English
Grenada,Tuvalu,English
Grenada,Saint Lucia,English
Grenada,Palau,English
Grenada,Philippines,English
Grenada,Cameroon,English
Grenada,Vanuatu,English
Grenada,Kenya,English
Grenada,Rwanda,English
Grenada,Trinidad and Tobago,English
Grenada,Guyana,English
Grenada,Antigua and Barbuda,English
Grenada,Micronesia,English
Grenada,Ireland,English
Grenada,Eritrea,English
Grenada,Tanzania,English
Grenada,Samoa,English
Grenada,United States,English
Grenada,Saint Vincent and the Grenadines,English
Grenada,Seychelles,English
Grenada,Malta,English
Grenada,Gambia,English
Grenada,Nigeria,English
Grenada,Bahamas,English
Grenada,South Sudan,English
Grenada,Belize,English
Grenada,Liberia,English
Grenada,Jamaica,English
Grenada,Tonga,English
Grenada,Kiribati,English
Grenada,Ghana,English
Grenada,Zimbabwe,English
Grenada,New Zealand,English
Sierra Leone,Barbados,English
Sierra Leone,Saint Kitts and Nevis,English
Sierra Leone,Uganda,English
Sierra Leone,South Africa,English
Sierra Leone,Solomon Islands,English
Sierra Leone,Singapore,English
Sierra Leone,United Kingdom,English
Sierra Leone,Zambia,English
Sierra Leone,Mauritius,English
Sierra Leone,Sudan,English
Sierra Leone,Fiji,English
Sierra Leone,Pakistan,English
Sierra Leone,Botswana,English
Sierra Leone,Papua New Guinea,English
Sierra Leone,India,English
Sierra Leone,Eswatini,English
Sierra Leone,Namibia,English
Sierra Leone,Malaysia,English
Sierra Leone,Canada,English
Sierra Leone,Malawi,English
Sierra Leone,Lesotho,English
Sierra Leone,Marshall Islands,English
Sierra Leone,Nauru,English
Sierra Leone,Dominica,English
Sierra Leone,Australia,English
Sierra Leone,Tuvalu,English
Sierra Leone,Saint Lucia,English
Sierra Leone,Palau,English
Sierra Leone,Philippines,English
Sierra Leone,Cameroon,English
Sierra Leone,Vanuatu,English
Sierra Leone,Kenya,English
Sierra Leone,Rwanda,English
Sierra Leone,Trinidad and Tobago,English
Sierra Leone,Guyana,English
Sierra Leone,Antigua and Barbuda,English
Sierra Leone,Micronesia,English
Sierra Leone,Ireland,English
Sierra Leone,Eritrea,English
Sierra Leone,Tanzania,English
Sierra Leone,Samoa,English
Sierra Leone,United States,English
Sierra Leone,Saint Vincent and the Grenadines,English
Sierra Leone,Seychelles,English
Sierra Leone,Malta,English
Sierra Leone,Gambia,English
Sierra Leone,Nigeria,English
Sierra Leone,Bahamas,English
Sierra Leone,South Sudan,English
Sierra Leone,Belize,English
Sierra Leone,Liberia,English
Sierra Leone,Jamaica,English
Sierra Leone,Tonga,English
Sierra Leone,Kiribati,English
Sierra Leone,Ghana,English
Sierra Leone,Zimbabwe,English
Sierra Leone,New Zealand,English
Barbados,Saint Kitts and Nevis,English
Barbados,Uganda,English
Barbados,South Africa,English
Barbados,Solomon Islands,English
Barbados,Singapore,English
Barbados,United Kingdom,English
Barbados,Zambia,English
Barbados,Mauritius,English
Barbados,Sudan,English
Barbados,Fiji,English
Barbados,Pakistan,English
Barbados,Botswana,English
Barbados,Papua New Guinea,English
Barbados,India,English
Barbados,Eswatini,English
Barbados,Namibia,English
Barbados,Malaysia,English
Barbados,Canada,English
Barbados,Malawi,English
Barbados,Lesotho,English
Barbados,Marshall Islands,English
Barbados,Nauru,English
Barbados,Dominica,English
Barbados,Australia,English
Barbados,Tuvalu,English
Barbados,Saint Lucia,English
Barbados,Palau,English
Barbados,Philippines,English
Barbados,Cameroon,English
Barbados,Vanuatu,English
Barbados,Kenya,English
Barbados,Rwanda,English
Barbados,Trinidad and Tobago,English
Barbados,Guyana,English
Barbados,Antigua and Barbuda,English
Barbados,Micronesia,English
Barbados,Ireland,English
Barbados,Eritrea,English
Barbados,Tanzania,English
Barbados,Samoa,English
Barbados,United States,English
Barbados,Saint Vincent and the Grenadines,English
Barbados,Seychelles,English
Barbados,Malta,English
Barbados,Gambia,English
Barbados,Nigeria,English
Barbados,Bahamas,English
Barbados,South Sudan,English
Barbados,Belize,English
Barbados,Liberia,English
Barbados,Jamaica,English
Barbados,Tonga,English
Barbados,Kiribati,English
Barbados,Ghana,English
Barbados,Zimbabwe,English
Barbados,New Zealand,English
Saint Kitts and Nevis,Uganda,English
Saint Kitts and Nevis,South Africa,English
Saint Kitts and Nevis,Solomon Islands,English
Saint Kitts and Nevis,Singapore,English
Saint Kitts and Nevis,United Kingdom,English
Saint Kitts and Nevis,Zambia,English
Saint Kitts and Nevis,Mauritius,English
Saint Kitts and Nevis,Sudan,English
Saint Kitts and Nevis,Fiji,English
Saint Kitts and Nevis,Pakistan,English
Saint Kitts and Nevis,Botswana,English
Saint Kitts and Nevis,Papua New Guinea,English
Saint Kitts and Nevis,India,English
Saint Kitts and Nevis,Eswatini,English
Saint Kitts and Nevis,Namibia,English
Saint Kitts and Nevis,Malaysia,English
Saint Kitts and Nevis,Canada,English
Saint Kitts and Nevis,Malawi,English
