Afghanistan,1,export,Pakistan
Afghanistan,2,export,India
Afghanistan,3,export,China
Albania,1,export,Italy
Albania,2,export,Serbia
Albania,3,export,Montenegro
Algeria,1,export,Italy
Algeria,2,export,France
Algeria,3,export,Spain
Andorra,1,export,Spain
Andorra,2,export,
Andorra,3,export,France
Angola,1,export,China
Angola,2,export,India
Angola,3,export,France
Anguilla,1,export,Chile
Anguilla,2,export,Netherlands
Anguilla,3,export,United States
Antigua and Barbuda,1,export,United States
Antigua and Barbuda,2,export,Sint Maarten
Antigua and Barbuda,3,export,China
Argentina,1,export,Brazil
Argentina,2,export,United States
Argentina,3,export,China
Armenia,1,export,Russia
Armenia,2,export,United Arab Emirates
Armenia,3,export,
Aruba,1,export,Colombia
Aruba,2,export,Areas nes
Aruba,3,export,United States
Australia,1,export,China
Australia,2,export,Areas nes
Australia,3,export,Japan
Austria,1,export,Germany
Austria,2,export,Italy
Austria,3,export,United States
Azerbaijan,1,export,Italy
Azerbaijan,2,export,Turkey
Azerbaijan,3,export,Israel
Bahamas,1,export,United States
Bahamas,2,export,Areas nes
Bahamas,3,export,France
Bahrain,1,export,Areas nes
Bahrain,2,export,Saudi Arabia
Bahrain,3,export,United States
Bangladesh,1,export,United States
Bangladesh,2,export,Germany
Bangladesh,3,export,United Kingdom
Barbados,1,export,Areas nes
Barbados,2,export,United States
Barbados,3,export,Jamaica
Belarus,1,export,Areas nes
Belarus,2,export,Russia
Belarus,3,export,Poland
Belgium,1,export,Germany
Belgium,2,export,Netherlands
Belgium,3,export,France
Belize,1,export,United States
Belize,2,export,United Kingdom
Belize,3,export,Guatemala
Benin,1,export,Bangladesh
Benin,2,export,India
Benin,3,export,Pakistan
Bermuda,1,export,United States
Bermuda,2,export,United Kingdom
Bermuda,3,export,Canada
Bhutan,1,export,India
Bhutan,2,export,Italy
Bhutan,3,export,Nepal
Bolivia,1,export,Brazil
Bolivia,2,export,India
Bolivia,3,export,China
Bosnia and Herzegovina,1,export,Germany
Bosnia and Herzegovina,2,export,Croatia
Bosnia and Herzegovina,3,export,Serbia
Botswana,1,export,United Arab Emirates
Botswana,2,export,Belgium
Botswana,3,export,India
Brazil,1,export,China
Brazil,2,export,United States
Brazil,3,export,Argentina
Brunei,1,export,Australia
Brunei,2,export,Singapore
Brunei,3,export,China
Bulgaria,1,export,Germany
Bulgaria,2,export,Romania
Bulgaria,3,export,Italy
Burkina Faso,1,export,Switzerland
Burkina Faso,2,export,United Arab Emirates
Burkina Faso,3,export,Mali
Burundi,1,export,United Arab Emirates
Burundi,2,export,DR Congo
Burundi,3,export,Switzerland
Cabo Verde,1,export,Spain
Cabo Verde,2,export,Italy
Cabo Verde,3,export,Portugal
Cambodia,1,export,United States
Cambodia,2,export,China
Cambodia,3,export,Japan
Cameroon,1,export,China
Cameroon,2,export,Netherlands
Cameroon,3,export,India
Canada,1,export,United States
Canada,2,export,China
Canada,3,export,Japan
Central African Republic,1,export,United Arab Emirates
Central African Republic,2,export,Pakistan
Central African Republic,3,export,Italy
Chad,1,export,United Arab Emirates
Chad,2,export,China
Chad,3,export,Germany
Chile,1,export,China
Chile,2,export,United States
Chile,3,export,Japan
China,1,export,United States
China,2,export,
China,3,export,Japan
Colombia,1,export,United States
Colombia,2,export,Panama
Colombia,3,export,Netherlands
Comoros,1,export,India
Comoros,2,export,Tanzania
Comoros,3,export,France
Congo,1,export,China
Congo,2,export,Côte d’Ivoire
Congo,3,export,Togo
Costa Rica,1,export,United States
Costa Rica,2,export,Netherlands
Costa Rica,3,export,Guatemala
Côte d’Ivoire,1,export,Mali
Côte d’Ivoire,2,export,Netherlands
Côte d’Ivoire,3,export,Switzerland
Croatia,1,export,Italy
Croatia,2,export,Germany
Croatia,3,export,Slovenia
Cuba,1,export,Canada
Cuba,2,export,China
Cuba,3,export,Spain
Cyprus,1,export,Libya
Cyprus,2,export,Lebanon
Cyprus,3,export,Bunkers
Czechia,1,export,Germany
Czechia,2,export,Slovakia
Czechia,3,export,Poland
North Korea,1,export,China
North Korea,2,export,Papua New Guinea
North Korea,3,export,Senegal
DR Congo,1,export,China
DR Congo,2,export,Singapore
DR Congo,3,export,
Denmark,1,export,Undisclosed
Denmark,2,export,Germany
Denmark,3,export,Sweden
Djibouti,1,export,China
Djibouti,2,export,United States
Djibouti,3,export,India
Dominica,1,export,Trinidad and Tobago
Dominica,2,export,Antigua and Barbuda
Dominica,3,export,France
Dominican Republic,1,export,United States
Dominican Republic,2,export,Switzerland
Dominican Republic,3,export,Haiti
Ecuador,1,export,United States
Ecuador,2,export,China
Ecuador,3,export,Panama
Egypt,1,export,Turkey
Egypt,2,export,Italy
Egypt,3,export,Saudi Arabia
El Salvador,1,export,United States
El Salvador,2,export,Guatemala
El Salvador,3,export,Honduras
Equatorial Guinea,1,export,China
Equatorial Guinea,2,export,India
Equatorial Guinea,3,export,Netherlands
Eritrea,1,export,China
Eritrea,2,export,United Arab Emirates
Eritrea,3,export,South Korea
Estonia,1,export,Finland
Estonia,2,export,Latvia
Estonia,3,export,Sweden
Eswatini,1,export,South Africa
Eswatini,2,export,Kenya
Eswatini,3,export,Nigeria
Falkland Islands (Malvinas),1,export,Spain
Falkland Islands (Malvinas),2,export,Morocco
Falkland Islands (Malvinas),3,export,United States
Faroe Islands,1,export,Denmark
Faroe Islands,2,export,United Kingdom
Faroe Islands,3,export,United States
Fiji,1,export,United States
Fiji,2,export,Australia
Fiji,3,export,Bunkers
Finland,1,export,United States
Finland,2,export,Sweden
Finland,3,export,Germany
France,1,export,Germany
France,2,export,Italy
France,3,export,Belgium
French Polynesia,1,export,France
French Polynesia,2,export,
French Polynesia,3,export,United States
Gabon,1,export,China
Gabon,2,export,India
Gabon,3,export,Cameroon
Gambia,1,export,Mali
Gambia,2,export,China
Gambia,3,export,Senegal
Georgia,1,export,Azerbaijan
Georgia,2,export,Armenia
Georgia,3,export,Kazakhstan
Germany,1,export,United States
Germany,2,export,France
Germany,3,export,Netherlands
Ghana,1,export,Switzerland
Ghana,2,export,South Africa
Ghana,3,export,United Arab Emirates
Gibraltar,1,export,Netherlands
